X,Y,wkt_geom,fid,UUID,MS_CD,EU_CD,VISS_MS_CD,SJONAMN,SJOID,CATEGORY,HARO,DAROID_UT,DISTRICT,COMP_AUTH,COUNTRY,WB,VERSION,URL_VISS,SHAPE_Leng,GVatten,G_EU_CD,G_MS_CD,centroid_x,centroid_y
14.79548636,64.72555928,Point (490256.65387117385398597 7177884.5377994617447257),5406,SE211B38E4-D60E-4C78-8F0F-4177E932462D,WA67763716,SE718060-145131,SE718060-145131,Bijje-Krönekenjaure,718007-145197,LW,38000,718018-145169,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA67763716,2967.410206,N,,,490257,7177885
15.03902116,64.72504917,Point (501859.46033696876838803 7177812.74890988413244486),5405,SE6D973A1F-AA71-4297-8EB1-95470DE955BB,WA98546997,SE718041-146371,SE718041-146371,Seurnarn,718041-146371,LW,38000,717959-146320,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA98546997,1678.688612,N,,,501859,7177813
15.56048607,64.73898907,Point (526688.2484659441979602 7179483.8745847437530756),5404,SEDA9A90BC-3FAB-43F6-AFAF-C8EA7116646B,WA90581859,SE718026-148857,SE718026-148857,Ytter-Rissjön,718026-148857,LW,38000,718134-148882,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA90581859,9103.526558,N,,,526688,7179484
15.62452894,64.72477045,Point (529752.51744197309017181 7177928.43229843396693468),5403,SECDA840F0-A9C8-4EBB-8BAB-E2C355AF34D5,WA52301569,SE718015-149177,SE718015-149177,Rödingsjön,718015-149177,LW,38000,718015-149124,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA52301569,1895.056034,N,,,529753,7177928
19.82638878,64.6803051,Point (730140.12522851920221001 7181595.28792363125830889),5402,SE97287394-585D-488B-87BD-2BBFBEA0B0EE,WA90190322,SE718006-169331,SE718006-169331,Fäbodträsket,718006-169331,LW,24000,718217-169131,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA90190322,7943.616052,N,,,730140,7181595
15.36469628,64.73651311,Point (517367.32616901217261329 7179139.76146899815648794),5401,SE075639B1-54DA-4733-AE58-9FA0F589D685,WA11556851,SE718000-147985,SE718000-147985,Mevattnet,718000-147985,LW,38000,718168-147801,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA11556851,10662.63691,N,,,517367,7179140
14.9141231,64.72004933,Point (495907.71806471125455573 7177257.95103747677057981),5400,SE26E41D88-B184-4F6B-9081-A0D9B89FB7A5,WA72731297,SE717994-145719,SE717994-145719,Batterejaure,717994-145719,LW,38000,718008-145816,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA72731297,2903.926178,N,,,495908,7177258
19.6706839,64.66009702,Point (722891.98432129749562591 7178790.81296244822442532),5383,SE0B8425B4-EC2A-4ADB-A140-624AF0088BAD,WA46395371,SE717724-168599,SE717724-168599,Holmträsket,717724-168599,LW,24000,717942-722212,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA46395371,13208.21479,N,,,722892,7178791
14.87996164,64.70005135,Point (494275.68323932308703661 7175031.97867065668106079),5382,SEB383478F-D1F8-47CC-AD53-489861E52841,WA49936844,SE717722-145606,SE717722-145606,Gierkerejaure,717722-145606,LW,38000,717782-145633,SE2,BH,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA49936844,3980.54511,N,,,494276,7175032
19.49600744,64.65405656,Point (714615.09135114832315594 7177516.05383523367345333),5381,SE2CFAC4C8-EFAC-45E4-8E99-97BCE4AE2B9C,WA74733464,SE717712-167715,SE717712-167715,Lapphusträsket,717712-167715,LW,26000,717735-167611,SE1,BV,SE,Y,SVAR2016,http://www.viss.lansstyrelsen.se/Waters.aspx?waterMSCD=WA74733464,6024.78187,N,,,714615,7177516
