Stationsnamn,StationsID,VattenförekomstID,Typ,Vattenmiljö,Region,long,lat
Västra Ringsjön,SE620062-135224,WA55412723,Sjö,Sjöar och Vattendrag,Södra Sverige,13.47214225,55.89261536
Finjasjön,SE622731-136920,WA15048302,Sjö,Sjöar och Vattendrag,Södra Sverige,13.70273594,56.13579243
St Skärsjön,SE628606-133205,WA43585030,Sjö,Sjöar och Vattendrag,Södra Sverige,13.06532572,56.67150528
Gyltigesjön,SE629489-133906,WA69838335,Sjö,Sjöar och Vattendrag,Södra Sverige,13.17402279,56.75318257
Rammsjön,SE629570-135470,WA87259643,Sjö,Sjöar och Vattendrag,Södra Sverige,13.42760918,56.76689975
Limmingsjön,SE660804-142742,WA91198389,Sjö,Sjöar och Vattendrag,Södra Sverige,14.52040379,59.58616012
Skifsen,SE666268-142230,WA70203019,Sjö,Sjöar och Vattendrag,Södra Sverige,14.4094159,60.07553316
Västra Solsjön,SE655863-129783,WA27767103,Sjö,Sjöar och Vattendrag,Södra Sverige,12.27628031,59.10093636
Bysjön,SE658086-130264,WA10190925,Sjö,Sjöar och Vattendrag,Södra Sverige,12.33991322,59.30237927
Överudssjön,SE659105-133982,WA62848185,Sjö,Sjöar och Vattendrag,Södra Sverige,12.98413021,59.40945854
Ulvsjön,SE661521-130182,WA34719703,Sjö,Sjöar och Vattendrag,Södra Sverige,12.29372887,59.60976084
Örvattnet,SE662682-132860,WA10620324,Sjö,Sjöar och Vattendrag,Södra Sverige,12.75795701,59.72567869
Översjön,SE664410-136192,WA79403718,Sjö,Sjöar och Vattendrag,Södra Sverige,13.33818071,59.89303933
Forsviksån Forsvik,SE649556-142025,,Sjö,Sjöar och Vattendrag,Södra Sverige,14.43392486,58.57919996
Humsjön,SE650061-142276,WA96665485,Sjö,Sjöar och Vattendrag,Södra Sverige,14.47582425,58.62121289
Ymsen,SE650398-139136,WA42884377,Sjö,Sjöar och Vattendrag,Södra Sverige,13.93407294,58.64472043
Svartsjön,SE651609-140839,WA35901648,Sjö,Sjöar och Vattendrag,Södra Sverige,14.22231736,58.75732859
Fagertärn,SE651558-143620,WA58439062,Sjö,Sjöar och Vattendrag,Södra Sverige,14.70284437,58.75775927
Långsjön,NW652500-143567,WA65391136,Sjö,Sjöar och Vattendrag,Södra Sverige,14.72083,58.83458
Långsjön,SE652412-143738,WA54481820,Sjö,Sjöar och Vattendrag,Södra Sverige,14.72082636,58.83458683
Härsvatten,SE643914-127698,WA48062167,Sjö,Sjöar och Vattendrag,Södra Sverige,12.03038948,58.02019997
Fräcksjön,SE645289-128665,WA31917172,Sjö,Sjöar och Vattendrag,Södra Sverige,12.18119438,58.14815158
Granvattnet,SE646293-126302,WA96345108,Sjö,Sjöar och Vattendrag,Södra Sverige,11.77068723,58.22604562
Alsjön,SE647050-130644,WA93761109,Sjö,Sjöar och Vattendrag,Södra Sverige,12.50201227,58.31509784
Rotehogstjärnen,SE652902-125783,WA20544146,Sjö,Sjöar och Vattendrag,Södra Sverige,11.61246118,58.81500236
Ejgdesjön,SE653737-125017,WA61711068,Sjö,Sjöar och Vattendrag,Södra Sverige,11.47092485,58.88538189
Stora Tresticklan,SE655209-126937,WA58534225,Sjö,Sjöar och Vattendrag,Södra Sverige,11.7877033,59.02792091
Allgjuttern,SE642489-151724,WA34425522,Sjö,Sjöar och Vattendrag,Södra Sverige,16.09632177,57.94794512
Öjsjön,SE644987-152393,WA72743278,Sjö,Sjöar och Vattendrag,Södra Sverige,16.2118242,58.17190805
Mjölnaån Utl. Vättern,SE647917-144480,WA35822974,Sjö,Sjöar och Vattendrag,Södra Sverige,14.86028295,58.43140567
Motalaström Motala,SE649035-145565,WA57602430,Sjö,Sjöar och Vattendrag,Södra Sverige,15.04346738,58.53344894
Geten,SE649314-149514,WA74940653,Sjö,Sjöar och Vattendrag,Södra Sverige,15.72167634,58.56099633
Grissjön,SE651578-146163,WA87125050,Sjö,Sjöar och Vattendrag,Södra Sverige,15.1421328,58.76256766
Stora Gryten,SE652840-151589,WA30575590,Sjö,Sjöar och Vattendrag,Södra Sverige,16.08065175,58.87727801
Bolmen,SE629511-136866,WA29456646,Sjö,Sjöar och Vattendrag,Södra Sverige,13.70307857,56.92638332
